id,checksum,game,game_feature,included_feature,note
379,1f1efc3b-3325-d235-a723-70864daca2ed,2,78,1,
380,4fc7e792-a1e1-5ecf-7835-333b20fbdb01,9227,78,0,
381,243b2bc8-c2da-d3f6-e0bd-458694b9c262,2,79,1,
382,2a9775c3-22ee-459e-3adc-b4bd98a643f5,9227,79,0,
383,b365ece9-26f0-9b8b-e3c8-a7c963f5ec8a,2,80,1,
384,b4daa775-ba05-c3d2-1c82-c4932d4e6293,9227,80,0,
385,49443cfe-bff9-ff1f-504b-1fee01d4c357,9227,81,,"This versions includes all of the missions from the first release, as well as three new missions adapted to the original storyline, with full voice acting and new graphics."
386,2d1ff30f-7733-dc2c-8049-48b43f060991,2,81,0,
387,2693530c-e710-0ce7-69a2-985947db1777,9227,82,,"An additional enemy known as the Fire Shadow has been added in the game. Fire Shadows classify as undead, and appear to be a bearded man engulfed in flames."
388,4d532e84-c217-987c-2b19-bf30f4115631,2,82,0,
389,8728b103-0d4e-eb19-9294-bfc4df09766c,9227,83,,"Some other changes from the original include a re-textured version of Down in the Bonehoard, a major gameplay and storyline change in the Lost City mission, a tweaked Undercover, and a huge add-on area in The Sword, which by itself is roughly the same size as the original mission."
390,9a1463e9-7a84-a12a-db77-7b2ff9fb82ba,2,83,0,
395,75698308-4ab5-c396-5e57-f9490a809cb4,2,86,1,
396,c4447045-556f-3870-9fe1-84fbef10afb0,9227,86,0,
397,f1d0e006-16f2-3e50-8e22-b297b7b79e66,2,87,1,
398,8ac9ca50-295b-868a-b2a9-9728e456d0d4,9227,87,0,
399,d5d788ff-70d6-9509-2060-86e6c366fd3a,2,88,1,
400,90546b2c-d678-8006-c9bb-e10e81a9c0dc,9227,88,0,
401,7dc501e1-45d7-218c-a1dd-e3b244b8512f,9227,89,,"This versions includes all of the missions from the first release, as well as three new missions adapted to the original storyline, with full voice acting and new graphics."
402,2eaafe3d-a301-e6a3-a368-8026a71ba09b,2,89,0,
403,35a2da7d-9969-179c-d1ec-2de9952eb1ca,9227,90,,"An additional enemy known as the Fire Shadow has been added in the game. Fire Shadows classify as undead, and appear to be a bearded man engulfed in flames."
404,5a0c3eba-4a66-7777-2185-7f38a0fb69a0,2,90,0,
405,52e3ac5c-3414-4f82-f211-0bd3ecc8d937,9227,91,,"Some other changes from the original include a re-textured version of Down in the Bonehoard, a major gameplay and storyline change in the Lost City mission, a tweaked Undercover, and a huge add-on area in The Sword, which by itself is roughly the same size as the original mission."
406,7906749a-de16-6c89-5159-b7ddc04572c6,2,91,0,
407,30fa918a-a7e6-175d-7112-51e70d5dc147,472,92,0,
408,1760faba-fb43-09f0-5368-fd7c984d9e6b,47445,92,1,
409,0d894b15-070d-be6c-f8d3-ae64aa67990e,19457,92,1,
410,ea83f533-cac7-e493-897e-fe8fc02a073d,472,93,0,
411,5c50994b-78b3-0796-6178-d23a7e8444e8,47445,93,1,
412,cf103095-e016-a47a-1fb6-12d3105633f1,19457,93,1,
413,90dfbc71-4354-fb72-23f0-dfbde7d96fbf,472,94,0,
414,d5a7d5ea-8304-0309-71a7-ccb42b7c593f,47445,94,1,
415,6fb9e426-97b0-c76c-1f60-72c9f8262dda,19457,94,1,
416,3346474c-188f-2574-fe5c-f25661eaeb7f,472,95,0,
417,59a67aef-d8aa-6cfe-4de3-eea5d78a0c74,47445,95,,Not on release.
418,496c9046-0003-4802-3310-6fbb2cf1296c,19457,95,,4K and HDR support
423,d0a50135-5a57-9b57-7831-aa999949a928,28540,98,0,
424,c465c5b9-efc3-cab8-eefe-b8285689542d,39047,98,,Only 999 copies available. Ubisoft Store exclusive.
425,117caeaf-d484-e6d8-eb88-0c2f663f41c3,39044,98,0,
426,e343ec3c-d09f-0404-636f-5982ffc3080c,39045,98,0,
427,7a21b986-d7c4-8ac4-8549-1bd2fca91df8,39046,98,,Ubisoft Store exclusive.
428,dea2d085-1820-ad85-ff8a-f32018f00a49,39034,98,0,
438,0306c861-7490-8546-4696-c2da09d62185,7349,102,0,
439,77dc4327-b7f1-181f-fd78-1c694389e01f,27766,102,1,
440,d7c72108-98ba-ba46-9e37-7ce3fa3cabdb,27767,102,1,
441,d8a11193-bf39-5411-817c-435204e341a6,7349,103,0,
442,086c4592-7089-59bd-12ac-6fac6eb8ec33,27766,103,1,
443,d6488cec-1fc9-64e3-54c0-f55720b9cea0,27767,103,1,
487,6abf92b8-8861-d541-dd4f-d1aec5aaf3a6,20228,121,0,
488,2a01822b-0686-f19d-037a-dfe7504fe26d,1267,121,1,
489,f9096a3f-7d2e-b911-9c29-fd0e4fae132b,20228,122,0,
490,534c76e3-fa81-0877-b237-c71811da9a1e,1267,122,1,
491,5f94bfa1-c41d-8b3a-47ad-1c7b77970e28,20228,123,0,
492,e1a21f9f-8273-28e0-6899-db5feae603f9,1267,123,1,
493,5c4da34a-c262-ec57-18c0-57a63a0beed5,20228,124,0,
494,42a73017-2ec7-77a4-8b51-4023c3bb2be1,1267,124,1,
495,88476566-bb50-88c1-4b84-62266f26a5ea,20228,125,0,
496,1061d8bf-8ad3-60aa-4041-d94bf79ae0bd,1267,125,1,
497,c8c8e856-c088-3eff-0a1a-c0af5c052308,20228,126,0,
498,20789bcd-2625-602d-d27b-4d724040eb3d,1267,126,1,
499,ee47e3e2-f38f-b394-806c-9cba5b53ee5c,20228,127,0,
500,99c7e69f-010d-1658-5e75-12137407917b,1267,127,1,
501,614594f1-4490-d3f2-f882-6edec62eebe9,1267,128,0,
502,72e40848-ad33-8d38-179f-51e9b943012a,20228,128,1,
503,02fdb409-e237-bd89-b92f-a7890a4efc95,1267,129,0,
504,d08ca26d-3ea6-688d-abca-dd5b3cab40bb,20228,129,1,
505,e2c08655-6433-3c8f-d1bb-63f714276087,1267,130,0,
