id,category,checksum,description,position,title,values
1,,6f7a2787-9cbd-2007-7e58-888ab33067f2,Physical copies only.,0,The game's official soundtrack,
2,,b7e115e9-9e3a-af58-d2f5-dca14d66bc13,Physical copies only.,0,The world map,
3,,5e5b29c4-fb66-de8c-580a-4280f16fa741,,0,Season Pass,
4,,e93e4ccd-ee86-fa18-28c8-2eb1d221ae4b,,0,Deluxe Pack,
5,,f8a9b3aa-6a4a-5eba-0842-937f73e14a92,,0,Full game,
6,,940248ea-774e-5132-79e3-ee8e504d8044,,0,Numbered Bayek & Senu figurine in resin (73cm),
7,,fd7aadb6-4167-1eee-f0ac-67b5f49ef36a,,0,Bayek & Senu figurine (37cm),
8,,e7565ca9-64f9-ead7-d11a-8b7bf8d0b526,,0,Bayek's figurine on the Sekhmet Statue (27cm),
9,,59a59148-6724-ed67-6134-cb0c57c3ab68,,0,4 large lithographs,
10,,c0372d13-6c65-c157-5213-82f5942d6748,,0,Steelbook,
11,,328576f2-2f73-a5c0-1898-d38dd31fb358,,0,Two original art cards,
12,,3f6e0ba8-9f2e-4d0d-f63a-3626d683992b,,0,Bayek’s eagle skull amulet in resin,
13,,1d49c8f2-cbca-5661-f52b-c023f5f77715,,0,Bayek’s eagle skull amulet,
14,,b053205f-df18-4888-5121-8b71aa9d2b97,,0,The game's art book,
15,,79ce0b11-d202-bbca-90c4-34d71d8e038f,,0,Full game,
16,,5967df06-9dc3-ef51-700c-f3b003a04f59,,0,Deluxe Pack,
17,,c27cf85d-4af5-9fc1-6f59-52a9624f9490,,0,Season Pass,
18,,f56321ef-018b-f52f-1171-5ba6adc7ec96,Physical copies only.,0,The world map,
19,,6907b584-53bb-8640-cba7-c849287ba9c2,Physical copies only.,0,The game's official soundtrack,
20,,6f916d7b-df2f-132e-8016-0710c5398b52,,0,Numbered Bayek & Senu figurine in resin (73cm),
21,,40aaa78e-e0e3-e8bf-450c-b9e2822a3aa6,,0,Bayek & Senu figurine (37cm),
22,,9f7f02b7-cc86-27ca-cdbd-42c3e8ba121a,,0,Bayek's figurine on the Sekhmet Statue (27cm),
23,,5edc9fa0-93f9-c5df-5b7d-d416fad3c3ff,,0,4 large lithographs,
24,,184c4eba-0801-c7af-309c-658c8e7d63d7,,0,Steelbook,
25,,a8c319d9-306a-b958-398c-6a8f9ce9dd33,,0,Two original art cards,
26,,21a95443-2c6e-b42e-61b0-0d21d60cb621,,0,Bayek’s eagle skull amulet in resin,
27,,2d8686fc-58f5-4a55-b3cd-922c841e0f8d,,0,Bayek’s eagle skull amulet,
28,,8e5b62a5-fe0a-f32d-37d1-d29817f3d20f,,0,The game's art book,
29,,2e5dfed7-cb03-c836-b327-24460f85f0c7,,0,Full game,
30,,d3cd18d1-9b84-aaa4-14e5-a3bfe81db890,,0,Deluxe Pack,
31,,2684d70d-6275-c100-f62e-fdd093f47788,,0,Season Pass,
32,,f443b779-f440-5480-24a0-3f411ce40344,Physical copies only.,0,The world map,
33,,cd830377-6764-f10d-71b0-b094851d53ce,Physical copies only.,0,The game's official soundtrack,
34,,335a5fc5-673b-a828-9e1c-d50c26f5f03d,,0,Season Pass,
35,,f08b6e6a-33bd-dc01-7e55-7a742a2d292f,,0,Deluxe Pack,
36,,9065dacf-7cbe-02b6-2b4f-082a27c9a63b,,0,Full game,
37,,4c6a87db-4334-588e-37dd-0f9f6a4999ed,,0,Full game,
38,,c0db86c7-22cf-3983-306f-a42dec5d2285,,0,Deluxe Pack,
39,,ed5b5308-c72e-6aac-8c84-076d4e1c1dec,,0,Season Pass,
40,,0e6df2d9-009b-bada-fe44-6d1f2e404bf1,,0,Full game,
41,,d801af6f-3631-4c37-fa57-e01c768ddfb1,,0,Deluxe Pack,
42,,245338ce-b524-6103-1f2b-126cb984895f,,0,Season Pass,
43,,de9362e7-afa4-01c9-2798-a4aa07397bed,,0,Season Pass,
44,,b7d61adc-3cde-6d62-1fbd-b2a3d71fb47b,,0,Deluxe Pack,
45,,6c4817f0-3481-3823-0662-8abbabd0f195,,0,Full game,
46,,c31895b1-2d89-322c-0758-b4ef7ff53444,,0,Season Pass,
47,,4be7efa6-aae8-507e-7e1f-f2c6e8645864,,0,Deluxe Pack,
48,,2f9cc99e-af9c-d886-1337-e8573fddfc72,,0,Full game,
49,,92dc5423-58fa-9cc0-d7c2-6fa66b32476c,,0,Notes,
50,0,eafc09c2-24ca-a10d-6602-78e5945e8ffd,,0,Secrets of the Pyramid Mission,"[515, 516, 517, 518, 519, 520]"
51,0,201cab1f-b06f-a4d2-d543-b2de3979b98d,,1,Ambush at Sea Mission,"[521, 522, 523, 524, 525, 526]"
52,0,4fb26132-182f-b675-6dd2-6e04ef6a414a,,2,Bonus Ability Points (3),"[527, 528, 529, 530, 531, 532]"
56,,67b8347f-e256-034b-987d-dbb9e4dfc78c,,0,Notes,
57,,d84e2155-a57b-9815-5129-8e22c0380c33,"Song of the Caverns is the eleventh mission in Thief Gold and the third and final mission exclusive to that game. Garrett enters a secret cavern in search of the Talisman of Water, but soon learns that it has been discovered and removed by the owner of a local Opera House. ",0,New mission: Song of the Caverns,
58,,58900b79-61a3-8ff0-5849-d0ffbb1c49f1,The Mage Towers is the ninth mission in Thief Gold and the second mission exclusive to the Gold version of the game. Garrett must infiltrate the compound of the Hand Brotherhood and steal the Talisman of Earth.,0,New mission: The Mage Towers,
59,,cac38f83-4699-364b-ca44-7a21fb55a124,"Thieves' Guild is the sixth mission in Thief Gold and the first mission that does not appear in Thief: The Dark Project. Garrett must infiltrate the secret underground hideout of the Downwind Thieves' Guild and steal Lord Randall's sapphire vase, which they stole before Garrett had the chance. ",0,New mission: Thieves' Guild,
60,,654a3184-347d-ace2-9e3b-b9f2f6901abb,"Thieves' Guild is the sixth mission in Thief Gold and the first mission that does not appear in Thief: The Dark Project. Garrett must infiltrate the secret underground hideout of the Downwind Thieves' Guild and steal Lord Randall's sapphire vase, which they stole before Garrett had the chance. ",0,New mission: Thieves' Guild,
61,,6f71a1f9-4008-fc53-bc59-e385c1acbc7f,The Mage Towers is the ninth mission in Thief Gold and the second mission exclusive to the Gold version of the game. Garrett must infiltrate the compound of the Hand Brotherhood and steal the Talisman of Earth.,0,New mission: The Mage Towers,
62,,d7e179cb-18da-c822-3559-da4b5a3b4662,"Song of the Caverns is the eleventh mission in Thief Gold and the third and final mission exclusive to that game. Garrett enters a secret cavern in search of the Talisman of Water, but soon learns that it has been discovered and removed by the owner of a local Opera House. ",0,New mission: Song of the Caverns,
63,,e273c669-4593-76de-3ba1-1969ae032221,,0,Notes: Added content,
64,,0abdaa77-4e71-908e-aa4e-833fde668b8b,,0,Notes: New enemies,
65,,d88cf7a0-be2d-6584-3592-285b6e027f6c,"Thieves' Guild is the sixth mission in Thief Gold and the first mission that does not appear in Thief: The Dark Project. Garrett must infiltrate the secret underground hideout of the Downwind Thieves' Guild and steal Lord Randall's sapphire vase, which they stole before Garrett had the chance. ",0,New mission: Thieves' Guild,
66,,619990a9-1fb6-a2f3-d083-54ca22be31aa,The Mage Towers is the ninth mission in Thief Gold and the second mission exclusive to the Gold version of the game. Garrett must infiltrate the compound of the Hand Brotherhood and steal the Talisman of Earth.,0,New mission: The Mage Towers,
67,,09fbb4d5-5815-9c1d-2e1e-a87ea328c041,"Song of the Caverns is the eleventh mission in Thief Gold and the third and final mission exclusive to that game. Garrett enters a secret cavern in search of the Talisman of Water, but soon learns that it has been discovered and removed by the owner of a local Opera House. ",0,New mission: Song of the Caverns,
68,,729983b8-a78e-f9a8-ce9b-ce20be3bb32c,,0,Added content,
69,,bfbd4173-f211-140c-28de-415a100e6677,,0,New enemies,
70,,56bc6b2a-5471-a588-c1be-aa8c77008f7e,,0,Other notes,
78,,f263760c-91b1-1d06-9da2-4985f2a4ea2a,"Song of the Caverns is the eleventh mission in Thief Gold and the third and final mission exclusive to that game. Garrett enters a secret cavern in search of the Talisman of Water, but soon learns that it has been discovered and removed by the owner of a local Opera House. ",0,Mission: Song of the Caverns,"[379, 380]"
79,,aaf4598b-c505-a13d-54f7-7fb2855cede4,The Mage Towers is the ninth mission in Thief Gold and the second mission exclusive to the Gold version of the game. Garrett must infiltrate the compound of the Hand Brotherhood and steal the Talisman of Earth.,0,Mission: The Mage Towers,"[381, 382]"
80,,e4a9bd65-dd79-b488-040b-cea9dd0fd8c3,"Thieves' Guild is the sixth mission in Thief Gold and the first mission that does not appear in Thief: The Dark Project. Garrett must infiltrate the secret underground hideout of the Downwind Thieves' Guild and steal Lord Randall's sapphire vase, which they stole before Garrett had the chance. ",0,Mission: Thieves' Guild,"[383, 384]"
81,,981051b9-31e2-d9fa-b814-70bec2ebe860,,0,Added content,"[385, 386]"
82,,489176ff-c77a-d275-f973-3b74f5bf13d0,,0,New enemies,"[387, 388]"
83,,6b868d6e-75a2-f12f-d6e8-40d4e7507686,,0,Other notes,"[389, 390]"
86,,b93a2133-313b-e009-bdcd-6fd8dd6e81a4,"Song of the Caverns is the eleventh mission in Thief Gold and the third and final mission exclusive to that game. Garrett enters a secret cavern in search of the Talisman of Water, but soon learns that it has been discovered and removed by the owner of a local Opera House. ",0,Mission: Song of the Caverns,"[395, 396]"
87,,fe9ccb2d-c3e1-1f47-1166-15230cf5c014,The Mage Towers is the ninth mission in Thief Gold and the second mission exclusive to the Gold version of the game. Garrett must infiltrate the compound of the Hand Brotherhood and steal the Talisman of Earth.,0,Mission: The Mage Towers,"[397, 398]"
88,,bc11dba9-4342-2e0e-9ced-ed12f5755c83,"Thieves' Guild is the sixth mission in Thief Gold and the first mission that does not appear in Thief: The Dark Project. Garrett must infiltrate the secret underground hideout of the Downwind Thieves' Guild and steal Lord Randall's sapphire vase, which they stole before Garrett had the chance. ",0,Mission: Thieves' Guild,"[399, 400]"
89,,65efd82f-9625-5fa3-c536-644d2402bda2,,0,Added content,"[401, 402]"
90,,8e495a8b-73ae-1a19-f2ba-ecab2765b9f3,,0,New enemies,"[403, 404]"
91,,72f9936e-8d5b-b535-48df-8abb2e22bbf4,,0,Other notes,"[405, 406]"
92,,4a83734b-5cf4-80e0-d821-5da4484dab0e," Journey off the coast of Morrowind, to the vast island of Solstheim. Traverse the ash wastes and glacial valleys of this new land as you become more powerful with shouts that bend the will of your enemies and even tame dragons.",0,Dragonborn,"[407, 408, 409]"
93,,c937a983-d53d-e736-00ac-3dc35c3b4afe,"Purchase land and build your own home from the ground up - from a simple one-room cottage to a sprawling compound complete with an armory, alchemy laboratory, and more. ",0,Hearthfire,"[410, 411, 412]"
94,,5c6f7a81-14bc-c474-0411-41251ee2f40c,"The Vampire Lord Harkon has returned to power. By using the Elder Scrolls, he seeks to do the unthinkable - to end the sun itself. Will you join the ancient order of the Dawnguard and stop him? Or will you become a Vampire Lord? ",0,Dawnguard,"[413, 414, 415]"
95,,09488339-3b1e-84de-4e7e-ba21d6581d7d,"-4K support
-God rays
-Volumetric light",0,Upgraded Graphics,"[416, 417, 418]"
98,1,42135d98-46d9-0f39-6b4d-89e651a77caf,,3,Notes,"[423, 424, 425, 426, 427, 428]"
99,,55bcbb51-17d6-dc78-0489-54d37a192db6,A unique skin for the Nomad vehicle as you explore new worlds.,0,Pre-order bonus: Nomad Skin,
100,,4a06bf8a-034a-e39b-78d7-13ffac118abc,Jumpstart your multiplayer co-op play with a booster pack. Includes 5x of 50% XP Boosters.,0,Pre-order bonus: Multiplayer Booster Pack,
101,,da7c9145-ef56-72be-d31c-f3b084b5d9c2,A unique armor set to help you explore the farthest reaches of the Andromeda Galaxy.,0,Pre-order bonus: Deep Space Explorer Armor,
102,,76bd61ed-3266-1ef5-51e3-17551744a5a5,"Stand out from the crowd, even when you're planetside on a deadly new world.",0,Scavenger Armor,"[438, 439, 440]"
103,,9431894b-5cdc-aa95-21e3-547412de8bd7,"Nobody wants to wear their uniform 24/7. Wheter you're relaxing aboard the Tempest or exploring a friendly space dock, this casual outfit will help you look your best.",0,Pathfinder Casual Outfit,"[441, 442, 443]"
121,,297da83a-b996-6a49-9a78-749a81822222,Runs at 1080p,0,1080p,"[487, 488]"
122,,df6842d9-08b2-3d53-3be5-9c42206bd404,"New fog, mist and smog effects, completely redone lighting giving the game a higher contrast look. 

Improved animations for objects on bodies, additional frames of animation, hand-modeled upgrades to characters. Extra neon signs throughout Hong Kong and animated lighting for those signs.

Audio improvements.",0,Graphical & Audio improvements,"[489, 490]"
123,,f64cc9f0-504a-8ed0-f3ff-9b947d237587,Amount of pedestrians increased.,0,Increased population density,"[491, 492]"
124,,ee50db60-2cf5-a5c2-00cf-ab134639f43f,tweaked vehicle handling for better control.,0,Improved vehicle handling,"[493, 494]"
125,,bfedd972-0255-a673-17da-66ab5bb415cc,Increased timing window for counter-attacks.,0,Increased time for counter-attacks,"[495, 496]"
126,,8e131265-dbee-d65c-61cc-1c82fa7f801e,All 24 previously available DLC extensions included,0,24 Downloadable Content included,"[497, 498]"
127,,24d4ca1c-2a74-bb79-6ccc-8bdc7a4be5d7,Year of the Snake and Nightmare in North Point included.,0,Story-extending DLC,"[499, 500]"
128,,c83f9e79-9222-ad05-0020-67de06e17b56,Year of the Snake and Nightmare in North Point included.,0,Story-extending DLC,"[501, 502]"
129,,4c4de9ca-138a-0933-77e7-75daf520e3c2,All 24 previously available DLC extensions included,0,24 Downloadable Content included,"[503, 504]"
130,,ee985caa-ac1c-781d-0cf0-ab93399bc865,Increased timing window for counter-attacks.,0,Increased time for counter-attacks,"[505, 506]"
131,,8a73ed6c-eb2b-2530-5d17-22fdde3b2baa,tweaked vehicle handling for better control.,0,Improved vehicle handling,"[507, 508]"
132,,0f62cd02-7cec-cdbe-cfda-6c32f6c414fb,Amount of pedestrians increased.,0,Increased population density,"[509, 510]"
133,,25c9e83e-b9ba-9602-b711-890b540ee048,"New fog, mist and smog effects, completely redone lighting giving the game a higher contrast look. 

Improved animations for objects on bodies, additional frames of animation, hand-modeled upgrades to characters. Extra neon signs throughout Hong Kong and animated lighting for those signs.

Audio improvements.",0,Graphical & Audio improvements,"[511, 512]"
134,,3aca75c1-a43c-0635-a705-960688e0768a,Runs at 1080p,0,1080p,"[513, 514]"
135,0,4b31a9c1-47a4-ebc0-ec00-4ec860554a5d,,4,Desert Cobra Pack,"[533, 534, 535, 536, 537, 538]"
