id,category,checksum,created_at,date,human,m,platform_version,region,updated_at,y
555,2,186c07ec-0d93-dc0f-6c4a-5fdb5a6138fa,,567907200,1987,12,,8,,1987
338,0,15e5b0aa-5bb6-ef30-ee85-0ef94cb3581f,,1189555200,"Sep 12, 2007",9,,3,,2007
334,0,a4c921d5-1894-9a40-d20f-05959cd69a38,,1125532800,"Sep 01, 2005",9,,7,,2005
331,0,3ebb8dc8-b8fa-f11a-b729-228b9dac35c4,,1415923200,"Nov 14, 2014",11,,3,,2014
333,0,a15ecea5-cb71-916f-5bec-66ad7f571b19,,1389830400,"Jan 16, 2014",1,,7,,2014
325,0,97e6008d-68e6-7814-876f-b4a233f94a78,,1426809600,"Mar 20, 2015",3,,6,,2015
340,0,1d0832a1-ad08-0577-d487-3494aa638b71,,1223942400,"Oct 14, 2008",10,,2,,2008
184,0,c1b73cf7-bdcc-45c7-20be-b070a4f86ec2,,604627200,"Feb 28, 1989",2,,5,,1989
181,0,47304121-9cbd-7d8b-4a5e-6782f002fc23,,1478822400,"Nov 11, 2016",11,,1,,2016
178,2,d7f272ca-9a99-1dc2-cdba-128419cdd82c,,567907200,1987,12,,1,,1987
168,0,f2d21089-a9bf-6942-eabd-0c1db845af36,,1438128000,"Jul 29, 2015",7,,8,,2015
171,2,dfca6ccb-d617-4a9b-5cff-f5776eab1bdc,,157680000,1974,12,,1,,1974
162,0,6ea0c664-f6fa-53ee-bf46-60a8d7bcdfd6,,1348531200,"Sep 25, 2012",9,,2,,2012
153,0,9748bc5b-fc77-68a3-090d-5e379fbadf4f,,1114732800,"Apr 29, 2005",4,,8,,2005
151,0,6ba81878-91df-beda-39e2-1c2460920735,,1030060800,"Aug 23, 2002",8,,1,,2002
149,0,684819c5-9936-bb97-4e9a-168f667c52b8,,1276732800,"Jun 17, 2010",6,,2,,2010
145,0,8703237d-e994-b479-8dc2-40ba771cb0e5,,620352000,"Aug 29, 1989",8,,2,,1989
143,0,6f39352f-4dbb-e454-8e29-30453be24459,,1085529600,"May 26, 2004",5,,8,,2004
141,0,8443ee7a-840d-e835-5192-85a7fdb86aa2,,920505600,"Mar 04, 1999",3,,5,,1999
137,2,17fedcba-0081-2ab7-6d17-938ffa687b18,,283910400,1978,12,,5,,1978
140,0,97a8720d-be3c-0dc8-e12f-7f65cdb38091,,1026432000,"Jul 12, 2002",7,,5,,2002
138,0,caa54a19-a3ef-ae89-29bd-068799f87824,,424569600,"Jun 16, 1983",6,,5,,1983
136,2,2cc18430-bfd9-6c3b-ff2e-1d897a5bd942,,283910400,1978,12,,1,,1978
135,0,41e520ec-90d8-37b6-6ef8-a4eb77217269,,234748800,"Jun 10, 1977",6,,2,,1977
133,0,579dbebf-18f6-ae71-3af5-1788c187b0ec,,857174400,"Mar 01, 1997",3,,1,,1997
131,2,9c57cc00-e531-5bcf-2bb1-aae536b43e96,,410140800,1982,12,,8,,1982
126,0,0698b7fa-5f3b-8187-87ac-bd2d4f2a913a,,952128000,"Mar 04, 2000",3,,5,,2000
129,0,41c61242-7b22-a574-14a4-aab1c7e26647,,975542400,"Nov 30, 2000",11,,3,,2000
121,0,b1fdc317-1198-0dcf-b58b-2a36a22f3eae,,912124800,"Nov 27, 1998",11,,5,,1998
128,0,6e621099-7890-915c-0d21-c23f768f15c1,,975024000,"Nov 24, 2000",11,,1,,2000
118,0,f1557ef8-fa61-d752-fd96-3cbf15b97125,,764121600,"Mar 20, 1994",3,,5,,1994
109,0,01d139e5-5aca-01bb-c002-9bfdb95fcbd2,,1310688000,"Jul 15, 2011",7,,8,,2011
122,0,a3bcdbf0-606a-631e-64e2-c5abab10730f,,936835200,"Sep 09, 1999",9,,2,,1999
108,0,b9a4c539-0b30-6dd7-6c15-b372c1e1e3b3,,1323993600,"Dec 16, 2011",12,,8,,2011
88,0,09f03df0-0d5a-6abe-e9d9-039c4741026e,,912124800,"Nov 27, 1998",11,,3,,1998
