id,checksum,created_at,name,slug,updated_at,url
20,4ebeaa43-4165-5d23-142a-9bb2a26c7024,1322524800,Thriller,thriller,1323216000,https://www.igdb.com/themes/thriller
18,fffad274-fee4-e195-eb78-72b2a35d643e,1322524800,Science fiction,science-fiction,1323216000,https://www.igdb.com/themes/science-fiction
1,c177e0ff-f29a-2a2e-fce5-f945258ceb59,1322524800,Action,action,1323216000,https://www.igdb.com/themes/action
19,28762ccf-724f-56cf-3784-dbf16dfcf174,1322524800,Horror,horror,1323216000,https://www.igdb.com/themes/horror
21,01d5251e-746d-d9b6-6a47-99e8e9fda8ff,1322524800,Survival,survival,1323216000,https://www.igdb.com/themes/survival
17,454bdc25-3dbf-5648-1e11-fc67ffc893aa,1322524800,Fantasy,fantasy,1323216000,https://www.igdb.com/themes/fantasy
22,1256e1bd-db05-276a-16ad-9704f7a56dcc,1322524800,Historical,historical,1323216000,https://www.igdb.com/themes/historical
23,6c0cc20c-b7fc-0007-8ae0-4cc91301e9f1,1322524800,Stealth,stealth,1323216000,https://www.igdb.com/themes/stealth
27,2d128835-a3c1-7979-d561-005e651ada8e,1322524800,Comedy,comedy,1323216000,https://www.igdb.com/themes/comedy
28,b088a483-b1e9-685b-dbfb-4e37b58ef69d,1322524800,Business,business,1323216000,https://www.igdb.com/themes/business
31,38bf13b9-353e-d24e-b5fa-3d471c9e1e84,1323561600,Drama,drama,1323561600,https://www.igdb.com/themes/drama
32,67e7350e-501b-9608-a68f-97f698582483,1323561600,Non-fiction,non-fiction,1323561600,https://www.igdb.com/themes/non-fiction
35,0d518e1e-a2be-1b31-40ab-6bd28ec850f1,1326758400,Kids,kids,1326758400,https://www.igdb.com/themes/kids
33,379eaafa-9fa2-9847-a6e2-b04b82687038,1326499200,Sandbox,sandbox,1326499200,https://www.igdb.com/themes/sandbox
38,7a78c421-ffaa-d859-d1ea-0b0974e3abd0,1345420800,Open world,open-world,1345420800,https://www.igdb.com/themes/open-world
39,384162d9-4646-885c-1fae-a18b0147dfa6,1345420800,Warfare,warfare,1345420800,https://www.igdb.com/themes/warfare
41,62e181d9-60fe-30c7-c884-e4341d2d3bd5,1357084800,"4X (explore, expand, exploit, and exterminate)",4x-explore-expand-exploit-and-exterminate,1357084800,https://www.igdb.com/themes/4x-explore-expand-exploit-and-exterminate
34,49695f76-0b6a-36bc-1a4a-db0eddf4beec,1326758400,Educational,educational,1326758400,https://www.igdb.com/themes/educational
43,e5276bc0-d8aa-6d85-6605-3c009ebdffa1,1465171200,Mystery,mystery,1465171200,https://www.igdb.com/themes/mystery
40,d28d8158-faa6-eb02-2510-4750764bdd6e,1356825600,Party,party,1356825600,https://www.igdb.com/themes/party
44,a756089a-291f-c3bc-e589-62afe1fcacc1,1588809600,Romance,romance,1588809600,https://www.igdb.com/themes/romance
42,a28e9969-76b8-5c50-1c3a-7db3b711aba1,1463702400,Erotic,erotic,1463702400,https://www.igdb.com/themes/erotic
