id,checksum,created_at,games,name,slug,updated_at,url
8202,2e258dc4-d204-b8a8-df3a-29451234bc6b,1661995850,[189115],Grey Heritage,grey-heritage,1662330684,https://www.igdb.com/collections/grey-heritage
8624,c9470ac8-9527-6882-8856-9d970f20fffc,1677479949,[38392],Silva Saga,silva-saga,1677479949,https://www.igdb.com/collections/silva-saga
2665,dc4ab10d-bb8a-dd28-d245-26bc2925457a,1492274225,"[19792, 28143]",Hard Truck,hard-truck,1670941801,https://www.igdb.com/collections/hard-truck
4010,64eb5d61-46f2-820b-aae2-216d56253817,1507872040,"[62387, 62388, 78078]",Net Versus,net-versus,1684331905,https://www.igdb.com/collections/net-versus
7211,02541907-0744-aa2e-1052-bc36dafe3bca,1627416127,"[154784, 154785, 155072, 155073, 172823]",Blue Reflection,blue-reflection,1691997051,https://www.igdb.com/collections/blue-reflection
3250,3f3e8016-8b9a-95cf-61bc-67b83fcc39e8,1507277312,"[47911, 49664, 58848, 67108, 80608]",Lovely Lisa,lovely-lisa,1685955105,https://www.igdb.com/collections/lovely-lisa
2279,b2954e1e-4977-4732-b2e7-38c30ca22acc,1469097161,"[15249, 20893]",Wings of Death,wings-of-death,1685532496,https://www.igdb.com/collections/wings-of-death
4763,7d5b273c-623b-87bd-65a0-3449699eb236,1512852878,[78394],Bille & Trille,bille-and-trille,1512852878,https://www.igdb.com/collections/bille-and-trille
5007,1d9a9b80-d78c-8a49-46b8-e046eabb4ba4,1512930937,"[39447, 120906]",Fighting Vipers,fighting-vipers,1687338543,https://www.igdb.com/collections/fighting-vipers
2829,c0b30ec4-7c6d-25b6-b762-8171111d7eb8,1500656794,[51692],Quiz Daisousasen,quiz-daisousasen,1500656794,https://www.igdb.com/collections/quiz-daisousasen
6946,9a80bbe0-7428-bf18-f929-2c26fa262640,1619217007,"[146208, 146209, 146210, 146211]",Corum,corum,1681817977,https://www.igdb.com/collections/corum
2834,a039aa25-cb6c-4bf6-b4d3-61ebc5fd3b6f,1500924181,[51999],Dark and Light,dark-and-light,1500924181,https://www.igdb.com/collections/dark-and-light
7630,5367255a-dc12-c24e-d368-699be5fe457c,1644851113,"[110731, 141631]",Fallstreak,fallstreak,1644851140,https://www.igdb.com/collections/fallstreak
1699,4e904377-10ee-4b59-a5dc-2b16953b9526,1442849191,"[12846, 18401, 46243]",Rolling Thunder,rolling-thunder,1685607120,https://www.igdb.com/collections/rolling-thunder
4536,ea4c6469-100b-0029-0a18-a3da71d7a5ad,1512821651,"[6663, 68102, 68103, 68117]",Derby Owners Club,derby-owners-club,1684370268,https://www.igdb.com/collections/derby-owners-club
8462,3ebcf2c8-91ff-a49a-9d8d-1f6221069d72,1670592101,"[123111, 228583]",Muscle Ranking GB,muscle-ranking-gb,1670592105,https://www.igdb.com/collections/muscle-ranking-gb
8804,25635f2c-a0f2-59c0-6763-5082523f1423,1685063608,[86576],Super Dungeon Boy,super-dungeon-boy,1685063608,https://www.igdb.com/collections/super-dungeon-boy
4942,af9debb6-a70c-29f0-8900-0451874111ae,1512905119,"[73235, 73723]",Quantum Gate,quantum-gate,1643459264,https://www.igdb.com/collections/quantum-gate
7598,7ebe4c40-5bf4-85b7-c0b2-da065e4986e0,1643148661,[188407],Tap Wizard,tap-wizard,1643148706,https://www.igdb.com/collections/tap-wizard
7606,9f60a265-36dc-6c43-34c3-c4516f50c969,1643320137,"[188561, 188569]",Alik,alik,1643339755,https://www.igdb.com/collections/alik
6447,a192c733-747a-62a4-4404-0350e5a05325,1598377179,"[61685, 137082]",Senshinkan,senshinkan,1681395813,https://www.igdb.com/collections/senshinkan
3177,cf48a24e-8a1c-10dd-4b34-726ea1d87bf6,1507192817,"[57050, 59012]",Golful Golf,golful-golf,1507192817,https://www.igdb.com/collections/golful-golf
7680,4f329a22-a15f-c373-b53e-7cf511b33090,1646392628,"[153510, 193163]",Pokémon and the Last Wish,pokemon-and-the-last-wish,1692353206,https://www.igdb.com/collections/pokemon-and-the-last-wish
8293,1df4b34d-f53c-7217-086c-029da9268cff,1663654927,[218206],Feverfew,feverfew,1663654928,https://www.igdb.com/collections/feverfew
7819,7fae61e1-788d-1947-6b31-966c54cf8235,1650850862,[61433],Spice and Wolf,spice-and-wolf,1650850863,https://www.igdb.com/collections/spice-and-wolf
5204,54927053-3738-2888-9ef7-244e97c7e113,1515757680,"[18338, 68842]",Shoppe Keep,shoppe-keep,1683200028,https://www.igdb.com/collections/shoppe-keep
4160,fd553838-d4bb-0575-c27d-4884ac88fb75,1507934803,"[60706, 60707, 67649]",Galaxy Online,galaxy-online,1691758786,https://www.igdb.com/collections/galaxy-online
3807,a0609127-8ef1-fa5e-ada8-31e806430797,1507814311,"[21698, 65333]",Funky Barn,funky-barn,1690454228,https://www.igdb.com/collections/funky-barn
631,9acdc21b-4350-cac7-95e7-4cd19661f711,1390097910,[2219],Voyeur,voyeur,1390097910,https://www.igdb.com/collections/voyeur
4632,7c79a1a9-f794-db03-aa63-eda5d7977c0d,1512851105,[72583],School Rumble,school-rumble,1512851105,https://www.igdb.com/collections/school-rumble
7852,9f390c7b-8bfd-0e72-efb9-b0681416d7f4,1651653419,[109972],Elsword,elsword,1670980596,https://www.igdb.com/collections/elsword
8847,2a2e9694-65dd-eabc-2e35-e7d02620b457,1687220168,"[86786, 88144, 91036, 254101]",Beat the Boss,beat-the-boss,1692563045,https://www.igdb.com/collections/beat-the-boss
4769,599fc9fb-91f9-3235-f158-0715b4c39955,1512852919,"[44038, 67301]",Bass Rush,bass-rush,1691152134,https://www.igdb.com/collections/bass-rush
7644,c7f0de3c-c528-b0e0-5dd0-f9af29744523,1645356657,[191624],Hanna in a Choppa,hanna-in-a-choppa,1645356798,https://www.igdb.com/collections/hanna-in-a-choppa
8865,eb786498-a444-5347-b8de-b90f72395838,1688949503,"[253793, 253794]",Super Ninji Land,super-ninji-land,1688949508,https://www.igdb.com/collections/super-ninji-land
8737,589967f4-f45a-5c14-9c2d-b994b3ea59dc,1681931174,"[246352, 246387]",Motor Rally,motor-rally,1681932478,https://www.igdb.com/collections/motor-rally
7444,32c68fa8-efc9-8c5b-8429-db8116a324ce,1637549575,"[182258, 226409]",Early American Wars,early-american-wars,1683694089,https://www.igdb.com/collections/early-american-wars
8282,8a389605-af5b-493a-15f4-8297fc3a2cf1,1663328720,"[217944, 217954]",Arcade Games,arcade-games,1663331606,https://www.igdb.com/collections/arcade-games
4398,11a7c2ec-4c05-b6b9-7a9d-cb7f6caae80c,1512729821,[5893],Tales from Space,tales-from-space,1512729821,https://www.igdb.com/collections/tales-from-space
3739,acbe1dc9-b8f2-8db0-b4cf-a6a51318b931,1507812771,"[8443, 49389, 61281, 76474, 79615, 80769]",My Little Pony,my-little-pony,1693315957,https://www.igdb.com/collections/my-little-pony
8907,8a3cffb8-64b6-8219-8bce-c439a83e8354,1691157561,[259985],Block Party,block-party,1691157562,https://www.igdb.com/collections/block-party
